"pid","study_longname"
"BHPDEB","Debswana survey"
"BHPDMC","BHP Data Management Centre"
"BHPFHN","BHP Family Health Needs"
"BHPINV","BHHRL Inventory"
"BHPLAB","BHP Reference Laboratory"
"BHPPHA","BHP Pharmacy"
"BHPSPD","Student Projects"
"BHPTEST","Test DB"
"BMS001","MTCT Male Study"
"CTL001","CTL Study (Novitsky)"
"HSPH01","HSPH/IID Boston"
"IDCC01","IDCC Dataset for NP Patients"
"MERCK","Merck study"
"NACA01","NACA Sponsored Surveys"
"PEPFAR","PEPFAR Project"
"QA0100","PBMC Immunology QA Program"
"RLAB01","Research Lab General"
"SS2001_2","Sentinel Surveillance 2001/2002"
"SS2003","Sentinel Surveillance 2003"
"SS2005","Sentinel Survey 2005"
"SS2006","Sentinel Surveillance 2006"
"SS2007","ss 2007"
"STI007","BHP/MoH STI Surveillance"
